CONTRIBUTION ADDRESS,STABLES CONTRIBUTION,KSM PURCHASE PRICE,KSM EQUIVALENT,USD returned at KSM price $33.32 ,TokenSymbol
0x18637e9c1f3bbf5d4492d541ce67dcf39f1609a2,100,383.23,0.2609399055,8.695,USDT
0xc59821cbf1a4590cf659e2ba74de9bbf7612e538,"53,454",383.23,139.4828171,"4,647.567",USDC
0x788f7a5eb84cf256de67d5629d146a9654356f8c,113,383.23,0.2948620933,9.825,USDC
0x75d228291f2670546549563569d25ab1840fa897,"2,000",383.23,5.218798111,173.890,USDT
0x99b476d2d2a1d13b81454a11c81ab8211b18902d,"5,000.00",383.23,13.04699535,434.726,USDT
0x649e6e22ac45129889eac16f2d97c233ef0c3ea0,600,383.23,1.565639433,52.167,USDC
0xa7b66856b34bc50b0d52944dd1697fe0f5702f64,"1,000",383.23,2.609399055,86.945,USDC
0x0e224d54a12d4934a036b671fa051e363b4521e4,"1,045.00",383.23,2.726822099,90.858,USDC
0x875a7dfc5749eacfc5f2725e717d7b17cd5492fa,"1,200",383.23,3.131278866,104.334,USDT
0x6ae03180afab253c939397fd6d9d3975cb372707,"1,000",383.23,2.609399055,86.945,USDT
0xac98d36783266bc4fbae14751c69aff811406932,900,383.23,2.34845915,78.251,USDC
0x20961aa837950d9c8761dd21c42c2ab41eba84b5,825.883282,383.23,2.155059056,71.807,USDC
0xbbddd093d7c303eabedd9efc81d1c70f28dd17e8,"323,163.31",413.99193,780.6029187,"26,009.689",USDC
0xa5e47ccf086cf986847a32b3402fce810bbc30be,"1,324.08",413.99193,3.198315445,106.568,USDC
0x1a247288c2c33701ec69d6e61db10f1d17f7a1a1,203.47288,413.99193,0.491489967,16.376,USDC
0x788f7a5eb84cf256de67d5629d146a9654356f8c,500,413.99193,1.207753011,40.242,USDC
0xc343b65ec11dfb5dbe0f1d3af4b1a201fbe7de9b,"4,976",413.99193,12.01955797,400.492,USDT
0x1a247288c2c33701ec69d6e61db10f1d17f7a1a1,51.13594,413.99193,0.123519171,4.116,USDC
