CONTRIBUTION ADDRESS,STABLES CONTRIBUTION,KSM EQUIVALENT,USD returned at KSM price $33.32 ,USD returned at KSM price $33.32 (INCL 2.1% FEE),TokenSymbol
0x3c8cbd613857965267bcd4bdec7b794dd53969a0,"1,324.08",29.52988424,983.936,963.2730924,USDC
0xe57afd4faedae0862d95ab713a053df0136f6ba2,203.47288,0.01916489487,0.639,0.6251642369,DAI
0x8f701b0732750378c7773bb07324a90e221bdc30,500,15.53008353,517.462,506.5956731,USDT
0xf7f1852a70278fe87e42a8aa1e93b94244b8b13a,51.13594,5.285849279,176.124,172.4258835,USDC
0x44be98130fb63eb3a068929ef3a102f15c2e6159,200.584228,4.429482636,147.590,144.4909639,USDC
0xa7a9e6137d2582fc8bddad6a6daeb8fb985396f2,"17,975",13.64783324,454.746,445.1961417,USDT
0x4cf8be01027ad66c4939181a5b8c5b2b281771f0,250,2.742731761,91.388,89.468678,USDC
0x1cf6012cabeeb53d84fb33c05e2c2b6a3478eef7,"2,769.76",0.2057048821,6.854,6.71015085,USDC
0x142f5aa531b69b10b04a7a53cb9f318d894bd4a4,"2,115.96",47.35691953,"1,577.933",1544.795975,USDC
0x1bc3e2c44e0b2dabb1b06a1890273571825d3e03,"5,000",1.064882795,35.482,34.73677493,USDC
0x1a60eb1065aea0d4b78ce2859b6977ac417d3aab,"2,765",0.02742731761,0.914,0.89468678,USDC
0x248eec608eaba4a9552852d433d72354c7c797a9,"2,068.04",8.252895485,274.986,269.2117615,USDC
0x46ea2f0f383348d76ae5e64277f084ede90eea12,"25,000",3.291278113,109.665,107.3624136,USDC
0x849693d92facf44a5d729e5f894d5a3ebc51a4c8,"1,100",4.488353097,149.552,146.4113347,USDC
0xf4ca35df279677654515d41aca6bc75e79731a4b,"2,808",473.0412644,"15,761.735",15430.7385,USDC
0x9fa0a37f9d8f8b4cbbfdaf25c441167d19b2ed85,"1,000",49.98754152,"1,665.585",1630.607601,USDC
0x388b2d29e7919d45b1b8f6e88b8a13a392f97b40,"1,000",13.52825469,450.761,441.295456,USDC
0x196eb61840ca3165a9940d6b078eea73480940a6,"7,556.70",2.626689213,87.521,85.6833376,USDT
0x21e743cfeb7c1104c30254d575819a81cb0a8673,"3,978.92",8.228195283,274.163,268.406034,USDC
0x9fa0a37f9d8f8b4cbbfdaf25c441167d19b2ed85,"9,990",32.29566648,"1,076.092",1053.493683,USDC
0xbbddd093d7c303eabedd9efc81d1c70f28dd17e8,"1,140",425.1234229,"14,165.112",13867.64509,USDC
0x01ffcc7285866e5cee14c8e807cb2e8d5f61079f,"29,052.20",13.93262184,464.235,454.4860256,DAI
